"t.stamp","n.data","u.avg","v.avg","w.avg","t.avg","uu","uv","uw","vv","vw","ww","ut","vt","wt","u.rns","v.rns","w.rns","uu.nst","uv.nst","uw.nst","vv.nst","vw.nst","ww.nst","ut.nst","vt.nst","wt.nst","u.trend.slope","u.trend.constant","v.trend.slope","v.trend.constant","w.trend.slope","w.trend.constant","t.trend.slope","t.trend.constant","theta","phi","psi","u.avg.rot","v.avg.rot","w.avg.rot","Dir","uu.rot","uv.rot","uw.rot","vv.rot","vw.rot","ww.rot","ut.rot","vt.rot","wt.rot","u.star","H0.v","L","z.over.L","T.star","Rho.air","Rho.Cp","Pa"
2012-02-01 12:00:00,6404,0.643603997501561,0.402176764522174,0.115999375390381,-4.09920986883198,0.183386078085299,0.026549943798986,-0.0625695107195977,0.179176217775247,-0.0372427881429333,0.159919688500481,-0.01508601370547,-0.0649749064376826,0.0276225980873588,3.65702018841115e-14,1.57350493579161e-14,2.89520925279878e-14,0.071064169471667,0.54105768061295,0.0375357455988959,0.213827157043311,0.14665783319461,0.0473320258982256,1.47250460097401,0.212029315342665,0.249314850612605,3.79367728567047e-05,0.522111482427964,3.67945400911296e-05,0.284342249880331,-1.84217232217499e-05,0.174994944008035,0.000107619063947361,-4.44385992112341,32.0005347097583,8.6901898192595,0,0.767742216250007,0,0,237.999465290242,0.183267854679006,0.00987226429562842,-0.0763662909576161,0.156495293948977,8.31313569683335e-05,0.182718835733044,-0.0425098575509635,-0.0471070356914803,0.0344408681737465,0.276344596845067,44.5601558631614,-42.0130407514096,-0.238021333879873,-0.124630148614976,1286.98241590115,1293.81627775367,993.868070847083
2012-02-01 13:00:00,25977,0.527589790968934,0.399265119143858,0.100427301074027,-2.05757708742349,0.132007964636153,0.0116525370580682,-0.0449718614537591,0.155353924593358,-0.0249035262964567,0.0930790382892251,-0.0866981678711633,-0.0646551486038428,0.0521149261722573,7.11263539868987e-14,1.15119580989294e-13,6.23225182235134e-14,0.0720221992954219,1.10281390924435,0.104770763902856,0.13640408468965,0.199254436530537,0.0236089908739424,0.191521290023795,0.577083689558752,0.186945000524147,-4.21253924804132e-06,0.582306463261743,-2.09192213124678e-07,0.401982316800135,1.50054672525778e-06,0.0809366996596537,-2.1187902507825e-05,-1.78236742174935,37.1174117283794,8.63082249329567,0,0.669215410537307,0,0,232.882588271621,0.135302498394196,0.0153292741691348,-0.0572975635469895,0.135638232193766,0.00503681494629289,0.109500196930773,-0.099103893080873,0.000761985693486504,0.0677544377672714,0.239830192648805,87.0140959485455,-14.0657276329698,-0.71094793393839,-0.282510041871532,1277.47340895886,1284.25677809369,994.01079690312
2012-02-01 14:00:00,36002,0.493331759346703,0.622902894283651,0.0069426698516749,-2.18698294539192,0.119050272827715,0.0131093992671244,-0.0407400286400148,0.145906811773359,-0.0393066247738295,0.0810071915942552,-0.0738418996191217,-0.0334548873412989,0.0484360688637596,1.63495865025655e-13,4.49148984172384e-14,2.43867294387462e-13,0.0726980774905817,0.691118396321606,0.115792939833657,0.217215813260058,0.191588612224057,0.0467670879363834,0.0617764595124906,0.139152384946678,0.0576322180507053,-4.00446611852001e-06,0.565418156179242,1.11749768855963e-05,0.421736547877592,-2.19920804799638e-07,0.0109015742192756,-8.73803497041662e-07,-2.17125317173992,51.6211905818566,0.500600438822756,0,0.794627234086356,0,8.67361737988404e-19,218.378809418143,0.14732986717153,0.0101336591077964,-0.0566866250441786,0.11664169902043,0.00744496888587215,0.0819927100033696,-0.0716454487440981,0.037115642406734,0.0490639088979524,0.239109659619837,63.0401803159699,-19.2402290997186,-0.519744330910604,-0.205194173150343,1278.071951089,1284.85849847566,994.001813662297
2012-02-01 15:00:00,36002,0.315189433920338,0.278461752124882,0.0486097994555858,-1.74503833120382,0.0659059436693823,-0.0035271146869729,-0.00808747568454619,0.0956250857489916,-0.0198720035061859,0.0486331766948881,-0.056798640822969,-0.0608045202882568,0.0308712034557704,8.80599811687976e-16,3.28926320518512e-14,1.1305547509851e-13,0.188871635327779,1.29002345308423,0.0833322264492905,0.421904898611789,0.384843313214334,0.0770231699908259,0.176798819438401,0.540341562954576,0.171454486852766,-5.55019457966903e-06,0.415101261646249,-2.17187835857782e-05,0.669432434844268,4.99226190188797e-06,-0.0412584031712505,9.99536611314469e-06,-1.92496991428959,41.4597687809612,6.59292034328239,0,0.423377183200269,0,0,228.540231219039,0.0706965317422894,0.0131217672888927,-0.0217681112919018,0.0860973683527907,-0.0111179149433721,0.0533703060181819,-0.0787322109427703,-0.0079621337304885,0.0401764841188247,0.156342471366478,51.5386282520134,-6.57881651325037,-1.52003023337998,-0.256977414823182,1276.03012952798,1282.8058348656,994.032458073392
2012-02-01 16:00:00,36002,0.287820676629076,-0.184517526804066,0.0146958502305427,-1.95194655852453,0.0615014824465113,0.0315532252061721,-0.00755949864226345,0.057767617733993,-0.00164189516430625,0.0159128647055346,-0.111225334940809,-0.130727733872828,0.0100173052193311,2.93158055424389e-14,-1.15825274672841e-13,1.66202745391284e-13,0.669021890872664,1.02050024519914,0.395320444157369,0.573746400947413,0.202990791394278,0.168397708682196,0.851616979277628,0.643324818483104,0.00726176796769744,2.52888642699094e-06,0.242296927613598,4.48801808543567e-07,-0.192596632560563,-1.15055807623395e-07,0.0167670273514752,-2.18147703186562e-05,-1.55924797063323,-32.6633243391807,2.46130893259702,0,0.342203780819422,0,0,302.663324339181,0.0312421483552152,0.0146199198363257,-0.00613679901547384,0.0875277019825601,-0.00609558517077709,0.0164121145482635,-0.0226303174859265,-0.17008246807662,0.0109993055930403,0.0930034994085386,14.1205348457813,-5.054639312874,-1.97838052945347,-0.118267652969953,1276.98525042189,1283.76602744049,994.018123386597
2012-02-01 17:00:00,36002,-0.348059552247097,-0.0756216321315483,0.0358563413143714,-2.66710293872563,0.114000634668936,0.0197871443835122,0.0257745049427257,0.0758843165494155,0.00970931648586732,0.0394654654098995,-0.0162157114741882,-0.0812096021109731,-0.00400892614322301,-6.37950038984695e-16,-1.46812888499135e-15,1.62556208068722e-13,0.448120848900541,0.549635707327145,0.223304043145328,0.290774598639822,0.391084626292113,0.0668142022000019,1.23691089647669,0.321910061922083,0.768433479200101,-4.70262438122737e-06,-0.263405259448432,-3.02026533266311e-06,-0.0212523257456133,-1.16798258455278e-06,0.0568817798101983,-1.10491270218784e-05,-2.46820207864127,-167.742062159536,5.748553499966,0,0.357980111694968,-1.38777878078145e-17,-6.93889390390723e-18,77.7420621595364,0.114249046858156,0.00964217392451695,-0.0347767083035816,0.0693918957245855,-0.00500666343679259,0.0457094740455098,0.0325199365189415,0.0759153540990215,-0.00730294483634488,0.187444004034036,-9.39959056443155,62.1623535059444,0.160869070040016,0.0389606745437363,1280.29756307243,1287.09592843317,993.968409759814
2012-02-01 18:00:00,36002,0.270983278706739,-0.0329365035275818,0.0261124381978779,-4.0264874173657,0.0202027925179631,-0.00316425778079544,-0.00391063912491536,0.0270140802963728,0.00103773114658207,0.0106669471974264,-0.0259849508945175,-0.0573510933394658,0.00247115264905196,9.56653404915525e-14,-1.55478060893597e-13,1.16921801579115e-14,0.268862727149904,0.829151857237823,0.213051517838489,0.390433965052176,2.37815657646283,0.0719535738868223,0.1333097010117,0.539360591704656,2.60609057012768,7.33990912722863e-06,0.138853904552932,7.3808356519872e-06,-0.165802616516829,1.73930967333683e-06,-0.00519774488669501,-2.80894909266749e-05,-3.52083444644927,-6.92998961071085,5.46416327087326,0,0.274223649658293,0,0,276.929989610711,0.0202060075013196,-0.00381711851023979,-0.00491976391409536,0.0261569239402694,0.000925991767731702,0.0115208885701734,-0.018554252661498,-0.0600673567450883,0.00425729226963597,0.0707541517523618,5.50669399834575,-5.70617338545329,-1.75248793271739,-0.0601702114179308,1286.64127713731,1293.4733275469,993.873191552808
2012-02-01 19:00:00,36002,0.218192600411088,0.0983595355813566,0.0427204044219766,-4.27388117326815,0.0179124209926588,0.000102295697788763,-0.00433340410871867,0.0224108571284984,0.00205224068883326,0.0100343754749051,-0.0288183117532582,-0.0255542886943997,0.00423926250530658,5.08827074123242e-16,1.69028754512674e-13,1.8013016130237e-13,0.166409025573184,1.48958547616806,0.214499119157179,0.278705594037326,0.75518162901886,0.109409076336885,0.153832220783582,0.243648405342773,0.16674191345396,3.92870562862742e-06,0.147470006037351,-2.39822248268742e-06,0.141531137603454,-3.41294074633941e-06,0.104158457267205,2.29540369538483e-06,-4.31520188289071,24.2654831365128,10.1203800694006,0,0.243120632748252,-1.38777878078145e-17,0,245.734516863487,0.0174047848079269,0.00236751861523917,-0.00442272759130755,0.021574453810734,0.00328693495154381,0.0113784149774014,-0.0354570784177028,-0.0114532694167725,0.0106351454772043,0.0742320395492805,13.7686927129722,-2.63544511516014,-3.79442544353361,-0.14326893807281,1287.80253295971,1294.6407496244,993.855760268203
2012-02-01 20:00:00,36002,0.390519415588023,-0.183481473251486,-0.0192803177601244,-3.71080634409199,0.0308721012659322,-0.00793531780092939,-0.00834988931731291,0.0297971052457283,0.000839683737937684,0.0141068100786237,-0.0307794362180099,-0.0765678520002498,0.0112262619165017,1.27363684154639e-13,-1.24647976179758e-13,-6.82001412606352e-14,0.175710509563521,0.222904411148413,0.111189066005932,0.179341915341066,0.298926080473295,0.0313043989998709,0.0420474433005187,0.17221325603196,0.0133123545135205,-6.36611606139589e-07,0.401979379415945,-3.2324341347759e-06,-0.125292810174316,9.6083076773524e-07,-0.0365767128255104,1.81813674071311e-05,-4.03809822947142,-25.1659950930255,-2.55853967963066,0,0.431905771703364,2.77555756156289e-17,0,295.165995093025,0.037446667610727,-0.00452245738602405,-0.00687145009157367,0.0238832386464955,-0.00299561390684149,0.0134461103330617,0.00419621377265998,-0.0823887155477479,0.0114249704951487,0.0865796409141878,14.7609101434414,-3.90053361486327,-2.56375178049851,-0.131959088470608,1285.16252066024,1291.98671888992,993.895388299339
2012-02-01 21:00:00,36002,0.478294816954614,-0.451666851841564,0.0155416365757458,-3.09872534859174,0.0520698285076044,-0.012552400264394,-0.00952572764418435,0.0605634919468059,-0.000686921451464552,0.0202544019066418,-0.0311670377965281,-0.0979386165860938,0.017688032630303,3.42378571390101e-14,-4.25243921436869e-14,2.22342682336206e-13,0.129409320264613,0.180776990806832,0.0760041172969961,0.261828953612954,3.29556124950206,0.052102039490577,0.00522142512017961,0.352047312390884,0.407515645310936,1.09820527308172e-06,0.458525474731233,-5.7339122943959e-06,-0.348447829673997,1.56821660722392e-06,-0.0126886146791955,1.18965640455005e-05,-3.31288134625687,-43.3598751185411,1.35335145114361,0,0.658035272189545,0,0,313.359875118541,0.0682737357629356,-0.00512300033256714,-0.00758855748691328,0.0440278290526855,-0.00692052427826329,0.0205861575454309,0.0449877023546603,-0.0926054447891677,0.0166301411415438,0.101342680520121,21.4381479868928,-4.3072339298126,-2.32167561895926,-0.164098098216791,1282.30498842376,1289.11401319007,993.938279608768
